set;name;foil;ck;mkm;available;profit;profitpct
Mirrodin Besieged;Mirrorworks;TRUE;3,38;4,5;3;1,12;0,331360947
Seventh Edition;Jalum Tome;TRUE;3,38;4,5;2;1,12;0,331360947
Seventh Edition;Millstone;TRUE;3,38;4,5;7;1,12;0,331360947
Apocalypse;Goblin Ringleader;TRUE;5,07;6,75;1;1,68;0,331360947
Ninth Edition;Ornithopter;TRUE;8,46;11,25;6;2,79;0,329787234
Legends;Knowledge Vault;FALSE;22;29,24;5;7,24;0,329090909
Invasion;Kangee, Aerie Keeper;TRUE;10,15;13,49;2;3,34;0,329064039
Seventh Edition;Intrepid Hero;TRUE;10,15;13,49;6;3,34;0,329064039
Seventh Edition;Storm Cauldron;TRUE;33,86;45;1;11,14;0,329001772
Magic 2012;Primeval Titan;TRUE;11,84;15,73;5;3,89;0,328547297
Eighth Edition;Plains;TRUE;0,67;0,89;8;0,22;0,328358209
Eighth Edition;Plains;TRUE;0,67;0,89;8;0,22;0,328358209
Eighth Edition;Plains;TRUE;0,67;0,89;8;0,22;0,328358209
Eighth Edition;Plains;TRUE;0,67;0,89;8;0,22;0,328358209
Legends;Torsten Von Ursus;FALSE;0,67;0,89;3;0,22;0,328358209
The Dark;Scarecrow;FALSE;0,25;0,33;5;0,08;0,32
Antiquities;Mightstone;FALSE;3,38;4,46;2;1,08;0,319526627
Limited Edition Alpha;Blaze of Glory;FALSE;126,98;167,39;1;40,41;0,318239093
Commander 2017;Territorial Hellkite;FALSE;0,41;0,54;8;0,13;0,317073171
Odyssey;Animal Boneyard;TRUE;0,41;0,54;2;0,13;0,317073171
The Dark;Elves of Deep Shadow;FALSE;3,38;4,45;9;1,07;0,316568047
Duel Decks: Jace vs. Chandra;Jace Beleren;FALSE;7,19;9,45;4;2,26;0,314325452
Arabian Nights;Hasran Ogress;FALSE;0,67;0,88;14;0,21;0,313432836
Arabian Nights;Hasran Ogress;FALSE;0,67;0,88;14;0,21;0,313432836
Avacyn Restored;Entreat the Angels;TRUE;6,76;8,87;4;2,11;0,312130178
Mercadian Masques;Aerial Caravan;TRUE;1,26;1,65;1;0,39;0,30952381
Legends;Relic Bind;FALSE;0,33;0,43;3;0,1;0,303030303
Mercadian Masques;Reverent Mantra;TRUE;3,8;4,95;1;1,15;0,302631579
Odyssey;Wayward Angel;TRUE;3,8;4,95;6;1,15;0,302631579
Ninth Edition;Slay;TRUE;0,41;0,53;4;0,12;0,292682927
Planechase;Taurean Mauler;FALSE;0,41;0,53;2;0,12;0,292682927
Legends;Kobold Taskmaster;FALSE;1,68;2,16;2;0,48;0,285714286
Dragon's Maze;Ruric Thar, the Unbowed;TRUE;0,84;1,08;1;0,24;0,285714286
Anthologies;Black Knight;FALSE;0,21;0,27;3;0,06;0,285714286
Anthologies;Uthden Troll;FALSE;0,21;0,27;16;0,06;0,285714286
Battle Royale Box Set;Skyshroud Elite;FALSE;0,21;0,27;2;0,06;0,285714286
Revised Edition;Serra Angel;FALSE;0,21;0,27;1;0,06;0,285714286
Mercadian Masques;Megatherium;TRUE;1,26;1,62;3;0,36;0,285714286
Conspiracy;Compulsive Research;TRUE;0,67;0,86;16;0,19;0,28358209
Ravnica: City of Guilds;Flame-Kin Zealot;TRUE;0,67;0,86;1;0,19;0,28358209
Invasion;Blazing Specter;TRUE;4,22;5,4;8;1,18;0,279620853
Portal: Second Age;Archangel;FALSE;4,22;5,4;3;1,18;0,279620853
Dark Ascension;Stormbound Geist;TRUE;2,11;2,7;1;0,59;0,279620853
Magic 2013;Serra Avatar;TRUE;2,11;2,7;4;0,59;0,279620853
Seventh Edition;Verduran Enchantress;TRUE;21,16;26,99;2;5,83;0,275519849
Invasion;Fires of Yavimaya;TRUE;4,22;5,38;5;1,16;0,274881517
Magic 2012;Sundial of the Infinite;FALSE;2,11;2,69;8;0,58;0,274881517
Magic 2015;Radiant Fountain;TRUE;2,11;2,69;1;0,58;0,274881517
Mercadian Masques;Ley Line;TRUE;0,33;0,42;3;0,09;0,272727273
Champions of Kamigawa;Jugan, the Rising Star;TRUE;4,22;5,36;2;1,14;0,27014218
Scars of Mirrodin;Glimmerpost;TRUE;4,22;5,36;1;1,14;0,27014218
Urza's Destiny;Ancient Silverback;TRUE;2,11;2,68;4;0,57;0,27014218
Morningtide;Auntie's Snitch;TRUE;0,67;0,85;2;0,18;0,268656716
Ninth Edition;Anaconda;TRUE;0,67;0,85;12;0,18;0,268656716
Shadowmoor;Advice from the Fae;TRUE;0,3;0,38;12;0,08;0,266666667
Unhinged;Collector Protector;TRUE;6,76;8,55;1;1,79;0,264792899
Unlimited Edition;Thoughtlace;FALSE;1,68;2,12;3;0,44;0,261904762
Invasion;Phyrexian Delver;TRUE;13,54;17,08;1;3,54;0,261447563
Mercadian Masques;Foster;TRUE;2,11;2,66;3;0,55;0,260663507
Rise of the Eldrazi;Dreamstone Hedron;TRUE;3,38;4,26;9;0,88;0,26035503
Planechase 2012;Planewide Disaster;FALSE;0,5;0,63;20;0,13;0,26
Revised Edition;Shatterstorm;FALSE;0,5;0,63;1;0,13;0,26
Legends;Boris Devilboon;FALSE;13,54;17,06;3;3,52;0,259970458
Dark Ascension;Predator Ooze;FALSE;1,26;1,58;8;0,32;0,253968254
Planar Chaos;Rough // Tumble;TRUE;1,26;1,58;3;0,32;0,253968254
Prophecy;Well of Discovery;TRUE;1,26;1,58;1;0,32;0,253968254
Seventh Edition;Vengeance;TRUE;1,26;1,58;2;0,32;0,253968254
Urza's Destiny;Master Healer;TRUE;1,26;1,57;2;0,31;0,246031746
Invasion;Mages' Contest;TRUE;2,53;3,15;4;0,62;0,245059289
Planechase 2012;Hedron Fields of Agadeem;FALSE;0,33;0,41;20;0,08;0,242424242
Planechase;Innocent Blood;FALSE;0,58;0,72;17;0,14;0,24137931
Portal;Cruel Fate;FALSE;0,58;0,72;3;0,14;0,24137931
Mirrodin Besieged;Ichor Wellspring;TRUE;5,07;6,29;12;1,22;0,240631164
Scourge;Grip of Chaos;TRUE;5,07;6,29;1;1,22;0,240631164
Starter 1999;Gerrard's Wisdom;FALSE;0,5;0,62;2;0,12;0,24
Gatecrash;Obzedat, Ghost Council;TRUE;5,07;6,28;1;1,21;0,238658777
Planechase;Cliffside Market;FALSE;1,09;1,35;17;0,26;0,23853211
Antiquities;Priest of Yawgmoth;FALSE;0,21;0,26;12;0,05;0,238095238
Battle Royale Box Set;Weakness;FALSE;0,21;0,26;19;0,05;0,238095238
Commander 2014;Wake the Dead;FALSE;0,21;0,26;8;0,05;0,238095238
Eighth Edition;Silverback Ape;FALSE;0,21;0,26;2;0,05;0,238095238
Starter 1999;Righteous Charge;FALSE;0,21;0,26;16;0,05;0,238095238
Starter 1999;Soul Feast;FALSE;0,21;0,26;3;0,05;0,238095238
Magic 2010;Soul Warden;TRUE;2,11;2,61;9;0,5;0,236966825
Ninth Edition;Hell's Caretaker;TRUE;36,4;45;5;8,6;0,236263736
Seventh Edition;Serra Angel;TRUE;36,4;45;5;8,6;0,236263736
Betrayers of Kamigawa;Shizuko, Caller of Autumn;TRUE;5,07;6,26;6;1,19;0,234714004
Ninth Edition;Storage Matrix;TRUE;5,07;6,26;3;1,19;0,234714004
Tempest;Dregs of Sorrow;FALSE;0,3;0,37;6;0,07;0,233333333
Invasion;Rith, the Awakener;TRUE;21,16;26,09;4;4,93;0,232986767
Planechase;Fields of Summer;FALSE;1,09;1,34;19;0,25;0,229357798
Eighth Edition;Serra Angel;TRUE;8,03;9,86;3;1,83;0,227895392
Limited Edition Alpha;Pestilence;FALSE;11;13,49;1;2,49;0,226363636
Mercadian Masques;Invigorate;TRUE;11;13,49;9;2,49;0,226363636
Portal: Second Age;Alluring Scent;FALSE;0,58;0,71;2;0,13;0,224137931
Magic 2012;Furyborn Hellkite;TRUE;3,8;4,64;3;0,84;0,221052632
Invasion;Rout;TRUE;16,92;20,66;3;3,74;0,221040189
Apocalypse;Phyrexian Rager;TRUE;2,95;3,6;1;0,65;0,220338983
Arabian Nights;Cuombajj Witches;FALSE;2,95;3,6;1;0,65;0,220338983
Eighth Edition;Circle of Protection: Red;TRUE;2,95;3,6;2;0,65;0,220338983
Time Spiral;Sage of Epityr;TRUE;2,95;3,6;6;0,65;0,220338983
Legends;Marhault Elsdragon;FALSE;0,41;0,5;2;0,09;0,219512195
Coldsnap;Brooding Saurian;TRUE;2,95;3,59;1;0,64;0,216949153
Invasion;Devouring Strossus;TRUE;2,95;3,59;4;0,64;0,216949153
Ninth Edition;Weird Harvest;TRUE;2,95;3,59;8;0,64;0,216949153
Rise of the Eldrazi;Lone Missionary;TRUE;2,95;3,59;6;0,64;0,216949153
Legends;Livonya Silone;FALSE;16,92;20,57;1;3,65;0,21572104
Nemesis;Stronghold Gambit;TRUE;29,62;35,99;1;6,37;0,215057394
Legends;Kismet;FALSE;5,92;7,19;8;1,27;0,214527027
Apocalypse;Bloodfire Colossus;TRUE;0,84;1,02;1;0,18;0,214285714
Battle Royale Box Set;Sengir Vampire;FALSE;0,33;0,4;4;0,07;0,212121212
Invasion;Kavu Chameleon;TRUE;0,33;0,4;2;0,07;0,212121212
Tenth Edition;Goblin Lore;TRUE;2,95;3,57;8;0,62;0,210169492
Apocalypse;Aether Mutation;TRUE;0,67;0,81;1;0,14;0,208955224
Odyssey;Cephalid Shrine;TRUE;0,67;0,81;3;0,14;0,208955224
Magic 2012;Spirit Mantle;TRUE;2,95;3,56;1;0,61;0,206779661
Seventh Edition;Bloodshot Cyclops;TRUE;2,95;3,56;1;0,61;0,206779661
Starter 1999;Dakmor Ghoul;FALSE;2,95;3,56;1;0,61;0,206779661
Planeshift;Draco;TRUE;12,69;15,3;4;2,61;0,205673759
Unhinged;Time Machine;TRUE;12,69;15,29;1;2,6;0,204885737
Rise of the Eldrazi;Devastating Summons;TRUE;2,95;3,55;1;0,6;0,203389831
Dragon's Maze;Trostani's Summoner;TRUE;0,3;0,36;9;0,06;0,2
Legends;Seeker;FALSE;0,3;0,36;3;0,06;0,2
Legends;Undertow;FALSE;0,3;0,36;7;0,06;0,2
Magic 2013;Flames of the Firebrand;TRUE;0,3;0,36;13;0,06;0,2
Magic 2015;Void Snare;TRUE;0,3;0,36;4;0,06;0,2
Mercadian Masques;Cho-Arrim Legate;TRUE;0,3;0,36;1;0,06;0,2
Mercadian Masques;Enslaved Horror;TRUE;0,3;0,36;5;0,06;0,2
Mercadian Masques;Nightwind Glider;TRUE;0,3;0,36;5;0,06;0,2
Mercadian Masques;Uphill Battle;TRUE;0,3;0,36;1;0,06;0,2
Morningtide;Warren Weirding;TRUE;0,3;0,36;1;0,06;0,2
Nemesis;Flint Golem;TRUE;0,3;0,36;7;0,06;0,2
New Phyrexia;Wing Splicer;TRUE;0,3;0,36;7;0,06;0,2
Odyssey;Rotting Giant;TRUE;0,3;0,36;4;0,06;0,2
Prophecy;Hollow Warrior;TRUE;0,3;0,36;4;0,06;0,2
Urza's Destiny;Archery Training;TRUE;0,3;0,36;3;0,06;0,2
Urza's Destiny;Nightshade Seer;TRUE;0,3;0,36;2;0,06;0,2
Urza's Legacy;Wing Snare;TRUE;0,3;0,36;10;0,06;0,2
Zendikar;Kabira Evangel;TRUE;2,53;3,03;2;0,5;0,197628458
Portal: Second Age;Vampiric Spirit;FALSE;0,67;0,8;4;0,13;0,194029851
Mercadian Masques;Extravagant Spirit;TRUE;0,84;1;5;0,16;0,19047619
Portal: Second Age;Ironhoof Ox;FALSE;0,21;0,25;10;0,04;0,19047619
Legends;Infinite Authority;FALSE;14,38;17,06;5;2,68;0,186369958
Arabian Nights;Ebony Horse;FALSE;6,76;8,01;3;1,25;0,184911243
Seventh Edition;Reverse Damage;TRUE;3,8;4,5;3;0,7;0,184210526
Battle Royale Box Set;Sewer Rats;FALSE;0,33;0,39;8;0,06;0,181818182
Seventh Edition;Jayemdae Tome;TRUE;3,8;4,49;5;0,69;0,181578947
Tenth Edition;Serra Angel;TRUE;7,61;8,99;3;1,38;0,181340342
Limited Edition Alpha;Demonic Attorney;FALSE;152,38;179,99;1;27,61;0,181191757
Legends;Mountain Yeti;FALSE;0,5;0,59;4;0,09;0,18
Modern Masters;Faerie Macabre;TRUE;2,95;3,48;5;0,53;0,179661017
Tenth Edition;Mahamoti Djinn;TRUE;2,95;3,48;8;0,53;0,179661017
Nemesis;Plague Witch;TRUE;0,84;0,99;2;0,15;0,178571429
Planechase;Pools of Becoming;FALSE;1,52;1,79;14;0,27;0,177631579
Rise of the Eldrazi;Unified Will;FALSE;1,52;1,79;20;0,27;0,177631579
Magic 2014;Tidebinder Mage;TRUE;2,11;2,48;8;0,37;0,17535545
Dark Ascension;Immerwolf;FALSE;0,58;0,68;20;0,1;0,172413793
Planechase 2012;Orochi Colony;FALSE;0,58;0,68;20;0,1;0,172413793
Legends;Gauntlets of Chaos;FALSE;3,8;4,45;5;0,65;0,171052632
Commander 2017;Scourge of Valkas;FALSE;0,41;0,48;8;0,07;0,170731707
Dragons of Tarkir;Secure the Wastes;TRUE;4,22;4,94;3;0,72;0,170616114
Seventh Edition;Early Harvest;TRUE;8,46;9,9;4;1,44;0,170212766
Shadowmoor;Grim Poppet;TRUE;7,61;8,9;1;1,29;0,169513798
Dark Ascension;Lingering Souls;TRUE;8,46;9,89;2;1,43;0,169030733
Magic 2012;Manic Vandal;TRUE;0,3;0,35;11;0,05;0,166666667
Mercadian Masques;Chameleon Spirit;TRUE;0,3;0,35;6;0,05;0,166666667
Mercadian Masques;Sizzle;TRUE;0,3;0,35;3;0,05;0,166666667
Urza's Legacy;Phyrexian Broodlings;TRUE;0,3;0,35;3;0,05;0,166666667
Oath of the Gatewatch;Kozilek's Return;FALSE;2,11;2,46;8;0,35;0,165876777
Dark Ascension;Faithless Looting;TRUE;3,8;4,41;16;0,61;0,160526316
Seventh Edition;Marble Diamond;TRUE;9,3;10,78;4;1,48;0,159139785
Portal: Three Kingdoms;Taoist Mystic;FALSE;4,65;5,39;8;0,74;0,159139785
Seventh Edition;Impatience;TRUE;2,95;3,41;4;0,46;0,155932203
Eventide;Flickerwisp;TRUE;19,46;22,49;1;3,03;0,155704008
Invasion;Rout;FALSE;0,58;0,67;3;0,09;0,155172414
Apocalypse;Kavu Mauler;TRUE;0,84;0,97;1;0,13;0,154761905
Judgment;Battle Screech;FALSE;2,36;2,72;20;0,36;0,152542373
Legends;Greed;FALSE;25,39;29,25;1;3,86;0,152028358
Mercadian Masques;Blood Oath;TRUE;2,11;2,43;1;0,32;0,151658768
Nemesis;Spiritual Asylum;TRUE;2,11;2,43;3;0,32;0,151658768
Gatecrash;Domri Rade;TRUE;8,03;9,22;8;1,19;0,148194271
Commander 2015;Bloodspore Thrinax;FALSE;1,09;1,25;8;0,16;0,146788991
Seventh Edition;Compost;TRUE;2,95;3,38;2;0,43;0,145762712
Eventide;Springjack Pasture;TRUE;11;12,59;3;1,59;0,144545455
Dissension;Sky Hussar;TRUE;5,92;6,75;3;0,83;0,140202703
Urza's Legacy;Faerie Conclave;TRUE;5,92;6,75;2;0,83;0,140202703
Conflux;Conflux;TRUE;5,07;5,78;8;0,71;0,140039448
The Dark;Barl's Cage;FALSE;0,5;0,57;8;0,07;0,14
Seventh Edition;Elvish Piper;TRUE;23,7;26,98;4;3,28;0,138396624
Oath of the Gatewatch;Crush of Tentacles;TRUE;2,53;2,88;8;0,35;0,138339921
New Phyrexia;Chancellor of the Annex;FALSE;3,8;4,32;8;0,52;0,136842105
The Dark;Blood Moon;FALSE;49,09;55,8;8;6,71;0,136687716
Magic 2015;Chandra, Pyromaster;TRUE;5,92;6,71;8;0,79;0,133445946
Antiquities;Argothian Pixies;FALSE;0,3;0,34;20;0,04;0,133333333
Gatecrash;Skarrg Guildmage;TRUE;0,3;0,34;16;0,04;0,133333333
Eventide;Stillmoon Cavalier;TRUE;11,84;13,4;3;1,56;0,131756757
Arabian Nights;Flying Men;FALSE;6,76;7,64;7;0,88;0,130177515
Unhinged;Meddling Kids;TRUE;7,61;8,6;1;0,99;0,130091984
Legends;Ring of Immortals;FALSE;14,38;16,2;3;1,82;0,126564673
Conspiracy;Deal Broker;TRUE;1,68;1,89;8;0,21;0,125
Guildpact;Order of the Stars;TRUE;0,41;0,46;5;0,05;0,12195122
Portal: Three Kingdoms;Zhang Liao, Hero of Hefei;FALSE;11,84;13,28;4;1,44;0,121621622
Antiquities;Haunting Wind;FALSE;6,34;7,11;5;0,77;0,121451104
Portal: Three Kingdoms;Famine;FALSE;1,09;1,22;6;0,13;0,119266055
Arabian Nights;Ydwen Efreet;FALSE;36,4;40,5;5;4,1;0,112637363
Return to Ravnica;Ash Zealot;TRUE;1,26;1,4;8;0,14;0,111111111
Legends;Jedit Ojanen;FALSE;1,09;1,21;2;0,12;0,110091743
Seventh Edition;Mana Breach;TRUE;4,22;4,68;1;0,46;0,109004739
Tenth Edition;Stronghold Discipline;TRUE;0,3;0,33;13;0,03;0,1
Weatherlight;Tranquil Grove;FALSE;0,3;0,33;4;0,03;0,1
Unlimited Edition;Gloom;FALSE;2,45;2,69;1;0,24;0,097959184
Commander 2015;Kaseto, Orochi Archmage;FALSE;0,41;0,45;8;0,04;0,097560976
Dragons of Tarkir;Virulent Plague;TRUE;0,41;0,45;5;0,04;0,097560976
Legends;Marble Priest;FALSE;0,41;0,45;7;0,04;0,097560976
Mercadian Masques;Cave-In;FALSE;0,41;0,45;1;0,04;0,097560976
Ninth Edition;Zealous Inquisitor;TRUE;0,41;0,45;5;0,04;0,097560976
Revised Edition;Mana Short;FALSE;0,41;0,45;1;0,04;0,097560976
Seventh Edition;Looming Shade;TRUE;0,41;0,45;2;0,04;0,097560976
Unhinged;Flaccify;TRUE;0,41;0,45;2;0,04;0,097560976
Unhinged;Mana Flair;TRUE;0,41;0,45;2;0,04;0,097560976
Unhinged;Standing Army;TRUE;0,41;0,45;5;0,04;0,097560976
Zendikar;Kazandu Blademaster;FALSE;0,41;0,45;20;0,04;0,097560976
Battle Royale Box Set;Songstitcher;FALSE;0,21;0,23;7;0,02;0,095238095
Commander 2015;Righteous Confluence;FALSE;0,21;0,23;8;0,02;0,095238095
Portal;Wall of Swords;FALSE;0,21;0,23;1;0,02;0,095238095
Portal: Second Age;Bloodcurdling Scream;FALSE;0,21;0,23;2;0,02;0,095238095
Starter 1999;Bog Wraith;FALSE;0,21;0,23;11;0,02;0,095238095
Starter 1999;Devout Monk;FALSE;0,21;0,23;14;0,02;0,095238095
The Dark;Reflecting Mirror;FALSE;0,21;0,23;2;0,02;0,095238095
Unlimited Edition;Craw Wurm;FALSE;0,21;0,23;3;0,02;0,095238095
Unlimited Edition;False Orders;FALSE;0,21;0,23;4;0,02;0,095238095
Legends;Chain Lightning;FALSE;6,76;7,38;9;0,62;0,091715976
Commander 2017;Apprentice Necromancer;FALSE;0,33;0,36;8;0,03;0,090909091
Eighth Edition;Treasure Trove;TRUE;0,33;0,36;3;0,03;0,090909091
Ice Age;Hecatomb;FALSE;0,33;0,36;2;0,03;0,090909091
Invasion;Reckless Spite;TRUE;0,33;0,36;6;0,03;0,090909091
Seventh Edition;Granite Grip;TRUE;0,33;0,36;1;0,03;0,090909091
Tenth Edition;Loyal Sentry;FALSE;0,33;0,36;1;0,03;0,090909091
Urza's Legacy;Radiant, Archangel;TRUE;71,95;78,3;1;6,35;0,088255733
Antiquities;Primal Clay;FALSE;0,58;0,63;8;0,05;0,086206897
Legends;Backfire;FALSE;0,58;0,63;7;0,05;0,086206897
Planeshift;Natural Emergence;TRUE;1,09;1,18;5;0,09;0,082568807
Archenemy;Zombify;FALSE;0,5;0,54;5;0,04;0,08
Commander 2017;Stalking Leonin;FALSE;0,5;0,54;8;0,04;0,08
Magic 2015;Ensoul Artifact;FALSE;0,5;0,54;20;0,04;0,08
Battle Royale Box Set;Cinder Marsh;FALSE;0,25;0,27;4;0,02;0,08
Antiquities;Ashnod's Transmogrant;FALSE;0,67;0,72;5;0,05;0,074626866
Commander 2016;Benefactor's Draught;FALSE;0,67;0,72;8;0,05;0,074626866
Duel Decks: Ajani vs. Nicol Bolas;Wild Nacatl;FALSE;0,67;0,72;3;0,05;0,074626866
Commander 2014;Abyssal Persecutor;FALSE;1,09;1,17;8;0,08;0,073394495
Battle Royale Box Set;Seeker of Skybreak;FALSE;0,41;0,44;1;0,03;0,073170732
Invasion;Lobotomy;TRUE;0,41;0,44;1;0,03;0,073170732
Legends;Frost Giant;FALSE;0,41;0,44;2;0,03;0,073170732
Magic 2010;Celestial Purge;TRUE;0,41;0,44;4;0,03;0,073170732
Magic 2012;Overrun;TRUE;0,41;0,44;2;0,03;0,073170732
Mercadian Masques;Cateran Summons;TRUE;0,41;0,44;1;0,03;0,073170732
Mercadian Masques;Close Quarters;TRUE;0,41;0,44;4;0,03;0,073170732
Mercadian Masques;Lumbering Satyr;TRUE;0,41;0,44;2;0,03;0,073170732
Odyssey;Gallantry;TRUE;0,41;0,44;8;0,03;0,073170732
Saviors of Kamigawa;Descendant of Kiyomaro;TRUE;0,41;0,44;8;0,03;0,073170732
Unglued;Burning Cinder Fury of Crimson Chaos Fire;FALSE;0,41;0,44;2;0,03;0,073170732
Unhinged;Gluetius Maximus;TRUE;0,41;0,44;11;0,03;0,073170732
Unhinged;Head to Head;TRUE;0,41;0,44;11;0,03;0,073170732
Unhinged;Supersize;TRUE;0,41;0,44;3;0,03;0,073170732
Unlimited Edition;Sacrifice;FALSE;0,41;0,44;2;0,03;0,073170732
Urza's Destiny;Goblin Berserker;TRUE;0,41;0,44;5;0,03;0,073170732
Visions;Summer Bloom;FALSE;0,41;0,44;7;0,03;0,073170732
Scourge;Forgotten Ancient;TRUE;5,92;6,35;5;0,43;0,072635135
Apocalypse;Enlistment Officer;TRUE;1,68;1,8;3;0,12;0,071428571
Magic 2015;Soul of Theros;TRUE;1,68;1,8;8;0,12;0,071428571
Odyssey;Magnivore;TRUE;1,68;1,8;2;0,12;0,071428571
Onslaught;Mobilization;TRUE;1,68;1,8;1;0,12;0,071428571
Worldwake;Hada Freeblade;TRUE;1,68;1,8;3;0,12;0,071428571
Commander 2017;Leonin Arbiter;FALSE;1,26;1,35;8;0,09;0,071428571
Invasion;Thornscape Master;TRUE;1,26;1,35;1;0,09;0,071428571
Magic 2010;Plains;TRUE;1,26;1,35;4;0,09;0,071428571
Magic 2010;Plains;TRUE;1,26;1,35;4;0,09;0,071428571
Magic 2010;Plains;TRUE;1,26;1,35;4;0,09;0,071428571
Magic 2010;Plains;TRUE;1,26;1,35;4;0,09;0,071428571
Magic 2012;Call to the Grave;TRUE;1,26;1,35;4;0,09;0,071428571
Magic 2013;Augur of Bolas;TRUE;1,26;1,35;6;0,09;0,071428571
Magic 2015;Venom Sliver;TRUE;1,26;1,35;1;0,09;0,071428571
Magic Origins;Molten Vortex;TRUE;1,26;1,35;8;0,09;0,071428571
Mercadian Masques;Mountain;TRUE;1,26;1,35;1;0,09;0,071428571
Mercadian Masques;Mountain;TRUE;1,26;1,35;1;0,09;0,071428571
Mercadian Masques;Mountain;TRUE;1,26;1,35;1;0,09;0,071428571
Mercadian Masques;Mountain;TRUE;1,26;1,35;1;0,09;0,071428571
Modern Masters;Rude Awakening;TRUE;1,26;1,35;8;0,09;0,071428571
Odyssey;Island;TRUE;1,26;1,35;2;0,09;0,071428571
Odyssey;Island;TRUE;1,26;1,35;2;0,09;0,071428571
Odyssey;Island;TRUE;1,26;1,35;2;0,09;0,071428571
Odyssey;Island;TRUE;1,26;1,35;2;0,09;0,071428571
Planechase;Izzet Steam Maze;FALSE;1,26;1,35;20;0,09;0,071428571
Planeshift;Fleetfoot Panther;TRUE;1,26;1,35;4;0,09;0,071428571
Planeshift;Radiant Kavu;TRUE;1,26;1,35;4;0,09;0,071428571
Urza's Destiny;Taunting Elf;TRUE;1,26;1,35;4;0,09;0,071428571
Avacyn Restored;Abundant Growth;TRUE;0,84;0,9;4;0,06;0,071428571
Commander 2015;Experiment One;FALSE;0,84;0,9;11;0,06;0,071428571
Dragons of Tarkir;Ojutai's Command;TRUE;0,84;0,9;5;0,06;0,071428571
Fate Reforged;Rally the Ancestors;TRUE;0,84;0,9;8;0,06;0,071428571
Gatecrash;Ghor-Clan Rampager;TRUE;0,84;0,9;5;0,06;0,071428571
Gatecrash;Obzedat, Ghost Council;FALSE;0,84;0,9;4;0,06;0,071428571
Invasion;Alabaster Leech;TRUE;0,84;0,9;2;0,06;0,071428571
Invasion;Ruby Leech;TRUE;0,84;0,9;8;0,06;0,071428571
Magic 2012;Gideon's Avenger;TRUE;0,84;0,9;5;0,06;0,071428571
Magic 2012;Timely Reinforcements;FALSE;0,84;0,9;20;0,06;0,071428571
Mercadian Masques;Arms Dealer;TRUE;0,84;0,9;1;0,06;0,071428571
Mirrodin;Myr Incubator;TRUE;0,84;0,9;5;0,06;0,071428571
Modern Masters;Verdeloth the Ancient;TRUE;0,84;0,9;8;0,06;0,071428571
Saviors of Kamigawa;Scroll of Origins;TRUE;0,84;0,9;8;0,06;0,071428571
Shadowmoor;Impromptu Raid;TRUE;0,84;0,9;3;0,06;0,071428571
Shadowmoor;Wilt-Leaf Cavaliers;TRUE;0,84;0,9;5;0,06;0,071428571
The Dark;Mind Bomb;FALSE;0,84;0,9;1;0,06;0,071428571
Urza's Legacy;Multani's Acolyte;TRUE;0,84;0,9;7;0,06;0,071428571
Commander 2017;Scalelord Reckoner;FALSE;0,58;0,62;8;0,04;0,068965517
Magic 2013;Slumbering Dragon;TRUE;2,95;3,15;1;0,2;0,06779661
Born of the Gods;Temple of Plenty;TRUE;2,53;2,7;7;0,17;0,067193676
Eighth Edition;Avatar of Hope;TRUE;2,53;2,7;8;0,17;0,067193676
Mercadian Masques;Game Preserve;TRUE;2,53;2,7;3;0,17;0,067193676
Mirage;Harbinger of Night;FALSE;2,53;2,7;8;0,17;0,067193676
Morningtide;Bramblewood Paragon;TRUE;2,53;2,7;2;0,17;0,067193676
Seventh Edition;Reckless Embermage;TRUE;2,53;2,7;6;0,17;0,067193676
Ugin's Fate;Ghostfire Blade;FALSE;2,53;2,7;5;0,17;0,067193676
Apocalypse;Illusion // Reality;TRUE;0,3;0,32;4;0,02;0,066666667
Avacyn Restored;Triumph of Ferocity;TRUE;0,3;0,32;9;0,02;0,066666667
Legends;Shield Wall;FALSE;0,3;0,32;7;0,02;0,066666667
Mercadian Masques;Panacea;TRUE;0,3;0,32;6;0,02;0,066666667
Mercadian Masques;Robber Fly;TRUE;0,3;0,32;5;0,02;0,066666667
Portal: Second Age;Goblin Lore;FALSE;0,3;0,32;14;0,02;0,066666667
Seventh Edition;Nature's Resurgence;TRUE;4,22;4,5;2;0,28;0,066350711
Urza's Legacy;Subversion;TRUE;4,22;4,5;1;0,28;0,066350711
Mercadian Masques;Notorious Assassin;TRUE;2,11;2,25;8;0,14;0,066350711
Archenemy;Gleeful Sabotage;FALSE;1,68;1,79;1;0,11;0,06547619
Eternal Masters;Daze;TRUE;6,76;7,2;8;0,44;0,065088757
Magic 2014;Chandra, Pyromaster;TRUE;6,76;7,2;8;0,44;0,065088757
Shadows over Innistrad;Duskwatch Recruiter // Krallenhorde Howler;TRUE;6,76;7,2;9;0,44;0,065088757
Scars of Mirrodin;Kemba, Kha Regent;TRUE;3,38;3,6;5;0,22;0,065088757
Seventh Edition;Pillage;TRUE;3,38;3,6;14;0,22;0,065088757
Mirrodin Besieged;Glissa, the Traitor;TRUE;5,07;5,4;8;0,33;0,065088757
Magic Origins;Kytheon, Hero of Akros // Gideon, Battle-Forged;TRUE;9,3;9,9;8;0,6;0,064516129
Shadows over Innistrad;Thing in the Ice // Awoken Horror;TRUE;7,61;8,1;1;0,49;0,064388962
Shards of Alara;Esper Charm;FALSE;1,09;1,16;12;0,07;0,064220183
